kind,task,path,line,date
CONFIRMED,T161,docs/tasks/archive/2026-04-30-t161-silver-multi-team-classification.md,168,2026-04-30
RATIFIED,T162,docs/tasks/archive/2026-04-30-t162-active-tdl-item-propagation.md,55,2026-04-30
RATIFIED,T162,docs/tasks/archive/2026-04-30-t162-active-tdl-item-propagation.md,61,2026-04-30
RATIFIED,T95,docs/tasks/archive/2026-04-30-t162-active-tdl-item-propagation.md,105,2026-04-30
RATIFIED,T95,docs/tasks/archive/2026-04-30-t163-activation-blocking-items-check.md,52,2026-04-30
RATIFIED,T164,docs/tasks/archive/2026-04-30-t163-activation-blocking-items-check.md,131,2026-04-30
RATIFIED,T148,docs/tasks/archive/2026-04-30-t164-gold-valid-filter-preserves-blocking.md,132,2026-04-30
RATIFIED,T95,docs/tasks/archive/2026-04-30-t164-gold-valid-filter-preserves-blocking.md,133,2026-04-30
RATIFIED,,docs/tasks/archive/2026-04-30-t164-gold-valid-filter-preserves-blocking.md,140,2026-04-30
RATIFIED,T163,docs/tasks/archive/2026-04-30-t164-gold-valid-filter-preserves-blocking.md,154,2026-04-30
ACCEPT,,docs/tasks/archive/2026-05-01-t165a-silver-fallback-compound-split.md,83,2026-05-01
ACCEPT,,docs/tasks/archive/2026-05-01-t166-conv-pre-flip-validate.md,113,2026-05-01
ACCEPT,,docs/tasks/archive/2026-05-01-t169-activate-sync-shape-normalize-diff.md,63,2026-05-01
ACCEPT,,docs/tasks/archive/2026-05-01-t171a-internal-team-canvas-field-canonicalize.md,47,2026-05-01
ACCEPT,,docs/tasks/archive/2026-05-02-t167-silver-per-record-trailing-punctuation.md,49,2026-05-02
ACCEPT,,docs/tasks/archive/2026-05-02-t171-primary-closed-by-t171a.md,56,2026-05-02
ACCEPT,,docs/tasks/archive/2026-05-02-t172-silver-fallback-client-company.md,47,2026-05-02
RATIFIED,,docs/tasks/archive/2026-05-04-t175-not-a-bug-governance-milestone-log-canvas-discrepancy.md,29,2026-05-04
RATIFIED,T176,docs/tasks/archive/2026-05-04-t176-deploy-script-env-var-preservation.md,62,2026-05-04
RATIFIED,,docs/tasks/archive/2026-05-04-t177-frontend-post-flip-form-suppression.md,24,2026-05-04
RATIFIED,,docs/tasks/archive/2026-05-04-t177-frontend-post-flip-form-suppression.md,53,2026-05-04
ACCEPT,,docs/tasks/archive/2026-05-05-t179-brand-rebrand.md,3,2026-05-05
RATIFIED,,docs/tasks/archive/2026-05-05-t179-brand-rebrand.md,12,2026-05-05
RATIFIED,,docs/tasks/archive/2026-05-05-t179-brand-rebrand.md,14,2026-05-05
ACCEPT,,docs/tasks/archive/2026-05-05-t179-brand-rebrand.md,65,2026-05-05
ACCEPT,T199,docs/tasks/archive/2026-05-09-t197-family-chat-vs-validator-systemic-refactor.md,3,2026-05-09
ACCEPT,T197,docs/tasks/archive/2026-05-09-t197-family-chat-vs-validator-systemic-refactor.md,17,2026-05-09
ACCEPT,T197a,docs/tasks/archive/2026-05-09-t197-family-chat-vs-validator-systemic-refactor.md,18,2026-05-09
RATIFIED,T197a,docs/tasks/archive/2026-05-09-t197-family-chat-vs-validator-systemic-refactor.md,18,2026-05-09
ACCEPT,T197b,docs/tasks/archive/2026-05-09-t197-family-chat-vs-validator-systemic-refactor.md,19,2026-05-09
ACCEPT,T197c,docs/tasks/archive/2026-05-09-t197-family-chat-vs-validator-systemic-refactor.md,20,2026-05-09
ACCEPT,T197d,docs/tasks/archive/2026-05-09-t197-family-chat-vs-validator-systemic-refactor.md,21,2026-05-09
ACCEPT,T197e,docs/tasks/archive/2026-05-09-t197-family-chat-vs-validator-systemic-refactor.md,22,2026-05-09
RATIFIED,T197f,docs/tasks/archive/2026-05-09-t197-family-chat-vs-validator-systemic-refactor.md,23,2026-05-09
ACCEPT,T197f,docs/tasks/archive/2026-05-09-t197-family-chat-vs-validator-systemic-refactor.md,24,2026-05-09
ACCEPT,T197f,docs/tasks/archive/2026-05-09-t197-family-chat-vs-validator-systemic-refactor.md,25,2026-05-09
RATIFIED,T197f,docs/tasks/archive/2026-05-09-t197-family-chat-vs-validator-systemic-refactor.md,25,2026-05-09
RATIFIED,,docs/tasks/archive/2026-05-09-t197-family-chat-vs-validator-systemic-refactor.md,56,2026-05-09
RATIFIED,,docs/tasks/archive/2026-05-09-t197-family-chat-vs-validator-systemic-refactor.md,57,2026-05-09
RATIFIED,T146,docs/tasks/archive/2026-05-09-t197-family-chat-vs-validator-systemic-refactor.md,83,2026-05-09
CONFIRMED,,docs/tasks/archive/2026-05-09-t197-family-chat-vs-validator-systemic-refactor.md,92,2026-05-09
RATIFIED,T197,docs/tasks/archive/2026-05-09-t197-family-chat-vs-validator-systemic-refactor.md,163,2026-05-09
RATIFIED,,docs/tasks/archive/2026-05-09-t197-family-chat-vs-validator-systemic-refactor.md,190,2026-05-09
RATIFIED,,docs/tasks/archive/2026-05-09-t197-family-chat-vs-validator-systemic-refactor.md,196,2026-05-09
RATIFIED,,docs/tasks/archive/2026-05-09-t197-family-chat-vs-validator-systemic-refactor.md,197,2026-05-09
RATIFIED,,docs/tasks/archive/2026-05-09-t197-family-chat-vs-validator-systemic-refactor.md,201,2026-05-09
RATIFIED,T197,docs/tasks/archive/2026-05-09-t197-family-chat-vs-validator-systemic-refactor.md,203,2026-05-09
ACCEPT,T197,docs/tasks/archive/2026-05-09-t197-family-chat-vs-validator-systemic-refactor.md,211,2026-05-09
RATIFIED,T197,docs/tasks/archive/2026-05-09-t197-family-chat-vs-validator-systemic-refactor.md,211,2026-05-09
ACCEPT,T197b,docs/tasks/archive/2026-05-09-t197-family-chat-vs-validator-systemic-refactor.md,213,2026-05-09
ACCEPT,T197c,docs/tasks/archive/2026-05-09-t197-family-chat-vs-validator-systemic-refactor.md,214,2026-05-09
ACCEPT,T202,docs/tasks/archive/2026-05-09-t202-budget-parser-suffix-multiplier.md,3,2026-05-09
RATIFIED,,docs/tasks/archive/2026-05-09-t202-budget-parser-suffix-multiplier.md,52,2026-05-09
RATIFIED,T202,docs/tasks/archive/2026-05-09-t202-budget-parser-suffix-multiplier.md,53,2026-05-09
ACCEPT,,docs/tasks/archive/2026-05-09-t208-family-prod-gate4-defense-in-depth.md,3,2026-05-09
ACCEPT,,docs/tasks/archive/2026-05-09-t208-family-prod-gate4-defense-in-depth.md,6,2026-05-09
ACCEPT,T146,docs/tasks/archive/2026-05-09-t208-family-prod-gate4-defense-in-depth.md,11,2026-05-09
ACCEPT,T208a,docs/tasks/archive/2026-05-09-t208-family-prod-gate4-defense-in-depth.md,18,2026-05-09
ACCEPT,T208b,docs/tasks/archive/2026-05-09-t208-family-prod-gate4-defense-in-depth.md,20,2026-05-09
ACCEPT,T208b,docs/tasks/archive/2026-05-09-t208-family-prod-gate4-defense-in-depth.md,21,2026-05-09
ACCEPT,T208c,docs/tasks/archive/2026-05-09-t208-family-prod-gate4-defense-in-depth.md,22,2026-05-09
ACCEPT,T208d,docs/tasks/archive/2026-05-09-t208-family-prod-gate4-defense-in-depth.md,23,2026-05-09
CONFIRMED,T52,docs/tasks/archive/2026-05-09-t208-family-prod-gate4-defense-in-depth.md,60,2026-05-09
RATIFIED,T93,docs/tasks/archive/2026-05-09-t208-family-prod-gate4-defense-in-depth.md,68,2026-05-09
RATIFIED,T89,docs/tasks/archive/2026-05-09-t208-family-prod-gate4-defense-in-depth.md,69,2026-05-09
RATIFIED,T143a,docs/tasks/archive/2026-05-09-t208-family-prod-gate4-defense-in-depth.md,101,2026-05-09
RATIFIED,,docs/tasks/archive/2026-05-09-t208-family-prod-gate4-defense-in-depth.md,123,2026-05-09
RATIFIED,T103,docs/tasks/archive/2026-05-09-t208-family-prod-gate4-defense-in-depth.md,124,2026-05-09
ACCEPT,T208a,docs/tasks/archive/2026-05-09-t208-family-prod-gate4-defense-in-depth.md,130,2026-05-09
RATIFIED,,docs/tasks/archive/2026-05-09-t208-family-prod-gate4-defense-in-depth.md,169,2026-05-09
RATIFIED,,docs/tasks/archive/2026-05-09-t208-family-prod-gate4-defense-in-depth.md,171,2026-05-09
RATIFIED,T208b,docs/tasks/archive/2026-05-09-t208-family-prod-gate4-defense-in-depth.md,172,2026-05-09
ACCEPT,,docs/tasks/archive/2026-05-11-t214-silver-success-empty-payload-bypass.md,3,2026-05-11
ACCEPT,,docs/tasks/archive/2026-05-11-t214-silver-success-empty-payload-bypass.md,6,2026-05-11
ACCEPT,T197b,docs/tasks/archive/2026-05-11-t214-silver-success-empty-payload-bypass.md,99,2026-05-11
ACCEPT,T214,docs/tasks/archive/2026-05-11-t214-silver-success-empty-payload-bypass.md,134,2026-05-11
ACCEPT,,docs/tasks/archive/2026-05-11-t214-silver-success-empty-payload-bypass.md,135,2026-05-11
ACCEPT,,docs/tasks/archive/2026-05-11-t214-silver-success-empty-payload-bypass.md,135,2026-05-11
ACCEPT,,docs/tasks/archive/2026-05-12-pre-round-66-leftover-bundle.md,29,2026-05-12
ACCEPT,,docs/tasks/archive/2026-05-12-pre-round-66-leftover-bundle.md,40,2026-05-12
ACCEPT,T177,docs/tasks/archive/2026-05-12-pre-round-66-leftover-bundle.md,72,2026-05-12
ACCEPT,,docs/tasks/archive/2026-05-12-pre-round-66-leftover-bundle.md,83,2026-05-12
RATIFIED,,docs/tasks/archive/2026-05-12-pre-round-66-leftover-bundle.md,88,2026-05-12
ACCEPT,T181,docs/tasks/archive/2026-05-12-pre-round-66-leftover-bundle.md,94,2026-05-12
ACCEPT,,docs/tasks/archive/2026-05-12-pre-round-66-leftover-bundle.md,105,2026-05-12
ACCEPT,T202,docs/tasks/archive/2026-05-12-pre-round-66-leftover-bundle.md,121,2026-05-12
ACCEPT,,docs/tasks/archive/2026-05-12-pre-round-66-leftover-bundle.md,130,2026-05-12
ACCEPT,T183a,docs/tasks/archive/2026-05-12-pre-round-66-leftover-bundle.md,142,2026-05-12
ACCEPT,T212a,docs/tasks/archive/2026-05-12-pre-round-66-leftover-bundle.md,151,2026-05-12
CONFIRMED,,docs/tasks/archive/2026-05-12-pre-round-66-leftover-bundle.md,155,2026-05-12
ACCEPT,T212,docs/tasks/archive/2026-05-12-pre-round-66-leftover-bundle.md,170,2026-05-12
RATIFIED,T212,docs/tasks/archive/2026-05-12-pre-round-66-leftover-bundle.md,170,2026-05-12
RATIFIED,T212a,docs/tasks/archive/2026-05-12-pre-round-66-leftover-bundle.md,174,2026-05-12
ACCEPT,,docs/tasks/archive/2026-05-12-pre-round-66-leftover-bundle.md,181,2026-05-12
CONFIRMED,,docs/tasks/archive/2026-05-12-pre-round-66-leftover-bundle.md,185,2026-05-12
ACCEPT,T213,docs/tasks/archive/2026-05-12-pre-round-66-leftover-bundle.md,214,2026-05-12
RATIFIED,,docs/tasks/archive/2026-05-12-pre-round-66-leftover-bundle.md,216,2026-05-12
PROMOTED,,docs/tasks/archive/2026-05-12-pre-round-66-leftover-bundle.md,216,2026-05-12
RATIFIED,T212a,docs/tasks/archive/2026-05-12-pre-round-66-leftover-bundle.md,238,2026-05-12
ACCEPT,,docs/tasks/archive/2026-05-12-round-63-deploy-bundle.md,132,2026-05-12
RATIFIED,,docs/tasks/archive/2026-05-12-round-63-deploy-bundle.md,132,2026-05-12
RATIFIED,T213,docs/tasks/archive/2026-05-12-round-66-deploy-bundle.md,50,2026-05-12
RATIFIED,T215a,docs/tasks/archive/2026-05-12-round-66-deploy-bundle.md,56,2026-05-12
CONFIRMED,T186a,docs/tasks/archive/2026-05-12-round-66-deploy-bundle.md,114,2026-05-12
CONFIRMED,,docs/tasks/archive/2026-05-12-round-66-deploy-bundle.md,138,2026-05-12
RATIFIED,T213a,docs/tasks/archive/2026-05-12-round-66-deploy-bundle.md,169,2026-05-12
RATIFIED,T180,docs/tasks/archive/2026-05-12-rounds-57-58-polish-bundle.md,5,2026-05-12
RATIFIED,T182,docs/tasks/archive/2026-05-12-rounds-57-58-polish-bundle.md,93,2026-05-12
RATIFIED,T180,docs/tasks/archive/2026-05-12-rounds-57-58-polish-bundle.md,109,2026-05-12
RATIFIED,,docs/tasks/archive/2026-05-12-rounds-57-58-polish-bundle.md,170,2026-05-12
ACCEPT,,docs/tasks/archive/2026-05-12-t170-t185-designer-bundle.md,14,2026-05-12
ACCEPT,,docs/tasks/archive/2026-05-12-t170-t185-designer-bundle.md,46,2026-05-12
ACCEPT,T185,docs/tasks/archive/2026-05-12-t170-t185-designer-bundle.md,63,2026-05-12
RATIFIED,,docs/tasks/archive/2026-05-12-t170-t185-designer-bundle.md,70,2026-05-12
RATIFIED,,docs/tasks/archive/2026-05-12-t170-t185-designer-bundle.md,117,2026-05-12
RATIFIED,,docs/tasks/archive/2026-05-12-t170-t185-designer-bundle.md,133,2026-05-12
ACCEPT,,docs/tasks/archive/2026-05-12-t170-t185-designer-bundle.md,142,2026-05-12
RATIFIED,T145a,docs/tasks/archive/2026-05-12-t170-t185-designer-bundle.md,144,2026-05-12
RATIFIED,T143a,docs/tasks/archive/2026-05-12-t170-t185-designer-bundle.md,146,2026-05-12
RATIFIED,T95,docs/tasks/archive/2026-05-12-t180-family-email-narrative-extraction.md,5,2026-05-12
RATIFIED,T95,docs/tasks/archive/2026-05-12-t180-family-email-narrative-extraction.md,68,2026-05-12
ACCEPT,,docs/tasks/archive/2026-05-12-t180-family-email-narrative-extraction.md,156,2026-05-12
RATIFIED,,docs/tasks/archive/2026-05-12-t180-family-email-narrative-extraction.md,183,2026-05-12
RATIFIED,T180,docs/tasks/archive/2026-05-12-t180-family-email-narrative-extraction.md,187,2026-05-12
ACCEPT,T184b,docs/tasks/archive/2026-05-12-t180-family-email-narrative-extraction.md,195,2026-05-12
ACCEPT,T131,docs/tasks/archive/2026-05-12-t180-family-email-narrative-extraction.md,197,2026-05-12
ACCEPT,T131,docs/tasks/archive/2026-05-12-t180-family-email-narrative-extraction.md,197,2026-05-12
CONFIRMED,,docs/tasks/archive/2026-05-12-t198-t199-t207-marker-contract-siblings.md,110,2026-05-12
RATIFIED,T197b,docs/tasks/archive/2026-05-12-t198-t199-t207-marker-contract-siblings.md,114,2026-05-12
RATIFIED,,docs/tasks/archive/2026-05-12-t198-t199-t207-marker-contract-siblings.md,116,2026-05-12
RATIFIED,T199,docs/tasks/archive/2026-05-12-t198-t199-t207-marker-contract-siblings.md,137,2026-05-12
CONFIRMED,,docs/tasks/archive/2026-05-12-t198-t199-t207-marker-contract-siblings.md,149,2026-05-12
RATIFIED,T129,docs/tasks/archive/2026-05-12-t198-t199-t207-marker-contract-siblings.md,170,2026-05-12
RATIFIED,T146,docs/tasks/archive/2026-05-12-t198-t199-t207-marker-contract-siblings.md,191,2026-05-12
RATIFIED,,docs/tasks/archive/2026-05-12-t200-family-nlc-marker-contract.md,105,2026-05-12
RATIFIED,T146,docs/tasks/archive/2026-05-12-t200-family-nlc-marker-contract.md,111,2026-05-12
RATIFIED,,docs/tasks/archive/2026-05-12-t200-family-nlc-marker-contract.md,228,2026-05-12
RATIFIED,T212,docs/tasks/archive/2026-05-12-t212-t213-round65-designer.md,5,2026-05-12
CONFIRMED,,docs/tasks/archive/2026-05-12-t212-t213-round65-designer.md,18,2026-05-12
RATIFIED,,docs/tasks/archive/2026-05-12-t212-t213-round65-designer.md,72,2026-05-12
RATIFIED,T213,docs/tasks/archive/2026-05-12-t212-t213-round65-designer.md,74,2026-05-12
PROMOTED,T212a,docs/tasks/archive/2026-05-12-t212-t213-round65-designer.md,96,2026-05-12
RATIFIED,T215,docs/tasks/archive/2026-05-12-t215-artifact-cache-design.md,1,2026-05-12
RATIFIED,,docs/tasks/archive/2026-05-12-t215-artifact-cache-design.md,4,2026-05-12
RATIFIED,,docs/tasks/archive/2026-05-12-t215-artifact-cache-design.md,14,2026-05-12
RATIFIED,T215b,docs/tasks/archive/2026-05-12-t215-artifact-cache-design.md,52,2026-05-12
RATIFIED,,docs/tasks/archive/2026-05-12-t215-artifact-cache-design.md,55,2026-05-12
RATIFIED,T95,docs/tasks/archive/2026-05-12-t95-family-t151-rounds-32-36.md,5,2026-05-12
RATIFIED,,docs/tasks/archive/2026-05-12-t95-family-t151-rounds-32-36.md,119,2026-05-12
RATIFIED,,docs/tasks/archive/2026-05-12-t95-family-t151-rounds-32-36.md,131,2026-05-12
RATIFIED,T162,docs/tasks/archive/2026-05-12-t95-family-t151-rounds-32-36.md,165,2026-05-12
ACCEPT,,docs/tasks/archive/2026-05-13-mvp-1-1-x-designer-bundle.md,7,2026-05-13
ACCEPT,,docs/tasks/archive/2026-05-13-mvp-1-1-x-designer-bundle.md,14,2026-05-13
RATIFIED,,docs/tasks/archive/2026-05-13-mvp-1-1-x-designer-bundle.md,17,2026-05-13
PROMOTED,,docs/tasks/archive/2026-05-13-mvp-1-1-x-designer-bundle.md,17,2026-05-13
RATIFIED,,docs/tasks/archive/2026-05-13-mvp-1-1-x-designer-bundle.md,20,2026-05-13
ACCEPT,,docs/tasks/archive/2026-05-13-mvp-1-1-x-designer-bundle.md,32,2026-05-13
ACCEPT,,docs/tasks/archive/2026-05-13-mvp-1-1-x-designer-bundle.md,41,2026-05-13
ACCEPT,,docs/tasks/archive/2026-05-13-mvp-1-1-x-designer-bundle.md,90,2026-05-13
RATIFIED,T221,docs/tasks/archive/2026-05-13-mvp-1-1-x-designer-bundle.md,92,2026-05-13
RATIFIED,T217a,docs/tasks/archive/2026-05-13-mvp-1-1-x-designer-bundle.md,106,2026-05-13
PROMOTED,T217a,docs/tasks/archive/2026-05-13-mvp-1-1-x-designer-bundle.md,106,2026-05-13
ACCEPT,,docs/tasks/archive/2026-05-13-round-67-backend-bundle.md,7,2026-05-13
ACCEPT,,docs/tasks/archive/2026-05-13-round-67-backend-bundle.md,14,2026-05-13
ACCEPT,,docs/tasks/archive/2026-05-13-round-67-backend-bundle.md,31,2026-05-13
RATIFIED,,docs/tasks/archive/2026-05-13-round-67-backend-bundle.md,31,2026-05-13
ACCEPT,,docs/tasks/archive/2026-05-13-round-67-backend-bundle.md,39,2026-05-13
ACCEPT,,docs/tasks/archive/2026-05-13-round-67-backend-bundle.md,48,2026-05-13
ACCEPT,,docs/tasks/archive/2026-05-13-round-67-backend-bundle.md,64,2026-05-13
ACCEPT,T185,docs/tasks/archive/2026-05-13-round-67-backend-bundle.md,68,2026-05-13
ACCEPT,,docs/tasks/archive/2026-05-13-round-67-backend-bundle.md,88,2026-05-13
RATIFIED,,docs/tasks/archive/2026-05-13-round-67-backend-bundle.md,88,2026-05-13
ACCEPT,T218,docs/tasks/archive/2026-05-13-round-67-backend-bundle.md,99,2026-05-13
RATIFIED,,docs/tasks/archive/2026-05-13-round-67-backend-bundle.md,119,2026-05-13
ACCEPT,,docs/tasks/archive/2026-05-13-round-67-backend-bundle.md,133,2026-05-13
RATIFIED,T221,docs/tasks/archive/2026-05-13-round-67-backend-bundle.md,160,2026-05-13
RATIFIED,T215a,docs/tasks/archive/2026-05-13-round-67-backend-bundle.md,162,2026-05-13
ACCEPT,,docs/tasks/archive/2026-05-13-round-69-backend-bundle.md,6,2026-05-13
RATIFIED,,docs/tasks/archive/2026-05-13-round-69-backend-bundle.md,20,2026-05-13
RATIFIED,,docs/tasks/archive/2026-05-13-round-69-backend-bundle.md,31,2026-05-13
RATIFIED,T221,docs/tasks/archive/2026-05-13-round-69-backend-bundle.md,41,2026-05-13
RATIFIED,,docs/tasks/archive/2026-05-13-round-69-backend-bundle.md,50,2026-05-13
RATIFIED,T221,docs/tasks/archive/2026-05-13-round-69-backend-bundle.md,104,2026-05-13
RATIFIED,T221,docs/tasks/archive/2026-05-13-round-69-backend-bundle.md,137,2026-05-13
RATIFIED,,docs/tasks/archive/2026-05-13-round-69-backend-bundle.md,139,2026-05-13
RATIFIED,,docs/tasks/archive/2026-05-13-round-69-backend-bundle.md,141,2026-05-13
RATIFIED,T221,docs/tasks/archive/2026-05-13-round-69-backend-bundle.md,158,2026-05-13
RATIFIED,T221,docs/tasks/archive/2026-05-13-round-69-backend-bundle.md,163,2026-05-13
RATIFIED,T221,docs/tasks/archive/2026-05-13-round-69-backend-bundle.md,169,2026-05-13
ACCEPT,,docs/tasks/archive/2026-05-13-t222-04-t217a-bundle.md,5,2026-05-13
ACCEPT,,docs/tasks/archive/2026-05-13-t222-04-t217a-bundle.md,37,2026-05-13
ACCEPT,,docs/tasks/archive/2026-05-13-t222-04-t217a-bundle.md,39,2026-05-13
ACCEPT,,docs/tasks/archive/2026-05-13-t222-04-t217a-bundle.md,67,2026-05-13
ACCEPT,T217,docs/tasks/archive/2026-05-13-t222-04-t217a-bundle.md,69,2026-05-13
RATIFIED,,docs/tasks/archive/2026-05-13-t222-04-t217a-bundle.md,117,2026-05-13
ACCEPT,,docs/tasks/archive/2026-05-14-round-71-mvp-1-2-backend-bundle.md,6,2026-05-14
RATIFIED,,docs/tasks/archive/2026-05-14-round-71-mvp-1-2-backend-bundle.md,40,2026-05-14
ACCEPT,T218,docs/tasks/archive/2026-05-14-round-71-mvp-1-2-backend-bundle.md,122,2026-05-14
ACCEPT,T218,docs/tasks/archive/2026-05-14-round-71-mvp-1-2-backend-bundle.md,123,2026-05-14
RATIFIED,T218,docs/tasks/archive/2026-05-14-round-71-mvp-1-2-backend-bundle.md,123,2026-05-14
RATIFIED,T218,docs/tasks/archive/2026-05-14-round-71-mvp-1-2-backend-bundle.md,123,2026-05-14
ACCEPT,T218,docs/tasks/archive/2026-05-14-round-71-mvp-1-2-backend-bundle.md,124,2026-05-14
ACCEPT,T185,docs/tasks/archive/2026-05-14-round-71-mvp-1-2-backend-bundle.md,125,2026-05-14
ACCEPT,T221,docs/tasks/archive/2026-05-14-round-71-mvp-1-2-backend-bundle.md,126,2026-05-14
RATIFIED,T185,docs/tasks/archive/2026-05-14-round-71-mvp-1-2-backend-bundle.md,133,2026-05-14
RATIFIED,,docs/tasks/archive/2026-05-14-round-71-mvp-1-2-backend-bundle.md,142,2026-05-14
ACCEPT,,docs/tasks/archive/2026-05-14-round-71-mvp-1-2-backend-bundle.md,167,2026-05-14
ACCEPT,T218,docs/tasks/archive/2026-05-14-round-71-mvp-1-2-backend-bundle.md,168,2026-05-14
ACCEPT,,docs/tasks/archive/2026-05-14-round-72-designer-half-plus-dev-round2.md,6,2026-05-14
ACCEPT,T221,docs/tasks/archive/2026-05-14-round-72-designer-half-plus-dev-round2.md,132,2026-05-14
ACCEPT,T218,docs/tasks/archive/2026-05-14-round-72-designer-half-plus-dev-round2.md,133,2026-05-14
ACCEPT,T218,docs/tasks/archive/2026-05-14-round-72-designer-half-plus-dev-round2.md,134,2026-05-14
ACCEPT,T185,docs/tasks/archive/2026-05-14-round-72-designer-half-plus-dev-round2.md,135,2026-05-14
ACCEPT,T218,docs/tasks/archive/2026-05-14-round-72-designer-half-plus-dev-round2.md,136,2026-05-14
CONFIRMED,,docs/tasks/archive/2026-05-14-round-72-designer-half-plus-dev-round2.md,142,2026-05-14
RATIFIED,T95,docs/tasks/archive/2026-05-14-round-72-designer-half-plus-dev-round2.md,143,2026-05-14
RATIFIED,T218,docs/tasks/archive/2026-05-14-round-72-designer-half-plus-dev-round2.md,146,2026-05-14
RATIFIED,,docs/tasks/archive/2026-05-14-round-72-designer-half-plus-dev-round2.md,151,2026-05-14
RATIFIED,,docs/tasks/archive/2026-05-14-round-72-designer-half-plus-dev-round2.md,156,2026-05-14
RATIFIED,T218,docs/tasks/archive/2026-05-14-round-72-designer-half-plus-dev-round2.md,163,2026-05-14
RATIFIED,,docs/tasks/archive/2026-05-14-round-72-designer-half-plus-dev-round2.md,167,2026-05-14
RATIFIED,,docs/tasks/archive/2026-05-14-round-72-designer-half-plus-dev-round2.md,167,2026-05-14
ACCEPT,,docs/tasks/archive/2026-05-14-t218-p1-p2-date-normalizer-refactor.md,7,2026-05-14
ACCEPT,,docs/tasks/archive/2026-05-14-t218-p1-p2-date-normalizer-refactor.md,37,2026-05-14
RATIFIED,T218,docs/tasks/archive/2026-05-14-t218-p1-p2-date-normalizer-refactor.md,52,2026-05-14
